state_abbr,sector_abbr,tech,incentive_type,min_kw,max_kw,pbi_usd_p_kwh,min_incentive_usd,max_incentive_usd,cbi_usd_p_w,ibi_pct,budget_annual_usd,budget_total_usd,incentive_cap_annual_mw,incentive_cap_total_mw,incentive_duration_yrs,start_date,end_date,cbi_usd_p_wh,max_incentive_pct,min_incentive_pct,min_kwh,max_kwh
RI,com,solar,PBI,176,250,0.3195,,,,,,,,,20,4/1/2016,12/31/2029,,,,,
RI,com,solar,PBI,251,500,0.2855,,,,,,,,,20,4/1/2016,12/31/2029,,,,,
RI,com,solar,PBI,501,999,0.2375,,,,,,,,,20,4/1/2016,12/31/2029,,,,,
RI,com,solar,PBI,1000,4999,0.1805,,,,,,,,,20,4/1/2016,12/31/2029,,,,,
RI,com,solar,PBI,5000,39000,0.1745,,,,,,,,,20,4/1/2016,12/31/2029,,,,,
RI,ind,solar,Grant,10,50,,,,0.7,,,,,,,1/1/2013,,,,,,
RI,ind,solar,Grant,51,100,,,,0.4,,,,,,,1/1/2013,,,,,,
RI,ind,solar,Grant,101,150,,,,0.3,,,,,,,1/1/2013,,,,,,
RI,ind,solar,Grant,151,175,,,,0.2,,,,,,,1/1/2013,,,,,,
RI,ind,solar,PBI,176,250,0.3195,,,,,,,,,20,4/1/2016,12/31/2029,,,,,
RI,ind,solar,PBI,251,500,0.2855,,,,,,,,,20,4/1/2016,12/31/2029,,,,,
RI,ind,solar,PBI,501,999,0.2375,,,,,,,,,20,4/1/2016,12/31/2029,,,,,
RI,ind,solar,PBI,1000,4999,0.1805,,,,,,,,,20,4/1/2016,12/31/2029,,,,,
RI,ind,solar,PBI,1000,39000,0.1745,,,,,,,,,20,4/1/2016,12/31/2029,,,,,
RI,res,solar,Grant,,9,,,5000,0.65,,,,,,,1/1/2013,,,,,,
RI,res,solar,Grant,10,50,,,,0.7,,,,,,,1/1/2013,,,,,,
RI,res,solar,Grant,51,100,,,,0.4,,,,,,,1/1/2013,,,,,,
RI,res,solar,Grant,101,150,,,,0.3,,,,,,,1/1/2013,,,,,,
RI,res,solar,Grant,151,175,,,,0.2,,,,,,,1/1/2013,,,,,,
SC,com,solar,ITC,,,,,3500,,0.25,,,,,,1/2/2006,,,,,,
SC,ind,solar,ITC,,,,,3500,,0.25,,,,,,1/2/2006,,,,,,
SC,res,solar,ITC,,,,,3500,,0.25,,,,,,1/1/2006,,,,,,
UT,com,solar,ITC,,2000,,,50000,,0.1,,,,,,1/1/2008,,,,,,
UT,com,solar,PTC,2001,,0.0035,,,,,,,,,4,1/1/2008,,,,,,
UT,ind,solar,ITC,,2000,,,50000,,0.1,,,,,,1/1/2008,,,,,,
UT,ind,solar,PTC,2001,,0.0035,,,,,,,,,4,1/1/2008,,,,,,
VT,com,solar,ITC,,,,,,,0.072,,,,,,1/1/2009,12/31/2032,,,,,
VT,com,solar,ITC,,,,,,,0.0624,,,,,,1/1/2033,12/31/2033,,,,,
VT,com,solar,ITC,,,,,,,0.0528,,,,,,1/1/2034,12/31/2034,,,,,
VT,ind,solar,ITC,,,,,,,0.072,,,,,,1/1/2009,12/31/2032,,,,,
VT,ind,solar,ITC,,,,,,,0.0624,,,,,,1/1/2033,12/31/2033,,,,,
VT,ind,solar,ITC,,,,,,,0.0528,,,,,,1/1/2034,12/31/2034,,,,,
WI,com,solar,Rebate,,,,,25000,0.05,,,,,,,1/1/2017,,,,,,
WI,ind,solar,Rebate,,,,,25000,0.05,,,,,,,1/1/2017,,,,,,
WI,res,solar,Rebate,,,,300,300,,,,,,,,1/1/2017,,,,,,
NY,com,storage,Rebate,,5000,,,,,,,,,,,4/1/2019,12/31/2030,0.125,,,,
NY,ind,storage,Rebate,,5000,,,,,,,,,,,4/1/2019,12/31/2030,0.125,,,,
NY,res,storage,Rebate,,,,,,,,,,,,,4/1/2019,12/31/2030,0.2,,,,25
RI,com,storage,Grant,,,,,40000,0.5,,,,,,,1/1/2013,,,,,,
RI,ind,storage,Grant,,,,,40000,0.5,,,,,,,1/1/2013,,,,,,
RI,res,storage,Grant,,,,2000,2000,,,,,,,,1/1/2013,,,,,,
VT,com,storage,ITC,,,,,,,0.072,,,,,,1/1/2009,12/31/2032,,,,,
VT,com,storage,ITC,,,,,,,0.0624,,,,,,1/1/2033,12/31/2033,,,,,
VT,com,storage,ITC,,,,,,,0.0528,,,,,,1/1/2034,12/31/2034,,,,,
VT,ind,storage,ITC,,,,,,,0.072,,,,,,1/1/2009,12/31/2032,,,,,
VT,ind,storage,ITC,,,,,,,0.0624,,,,,,1/1/2033,12/31/2033,,,,,
VT,ind,storage,ITC,,,,,,,0.0528,,,,,,1/1/2034,12/31/2034,,,,,
